,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80,bin_81,bin_82,bin_83,bin_84,bin_85,bin_86,bin_87,bin_88,bin_89,bin_90,bin_91,bin_92,bin_93,bin_94,bin_95,bin_96,bin_97,bin_98,bin_99,bin_100,bin_101,bin_102,bin_103,bin_104,bin_105,bin_106,bin_107,bin_108,bin_109,bin_110,bin_111,bin_112,bin_113
10,7,7,7,7,8,8,8,8,0,8,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,7,7,8,8,8,8,8,0,8,8,7,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,7,5,7,7,8,6,10,0,9,8,9,0,0,8,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,7,7,7,7,7,7,6,0,7,7,7,1,0,7,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,6,5,7,6,6,5,7,0,7,7,7,10,0,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6,6,6,6,6,7,7,7,0,7,7,7,7,0,7,6,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9,6,6,6,6,5,6,6,0,6,6,6,6,0,6,6,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,5,5,5,5,5,6,5,0,5,6,6,6,0,6,6,0,0,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,3,3,4,5,2,5,5,0,5,9,6,6,0,6,5,0,0,6,5,6,6,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,2,4,4,5,3,5,4,0,4,5,5,5,0,5,5,0,0,5,5,5,5,5,0,1,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10,4,4,3,4,4,4,4,0,4,4,5,4,0,4,4,0,0,4,5,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,13,2,4,4,4,4,4,4,0,4,4,4,5,0,4,4,0,0,4,4,4,3,4,0,4,0,0,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,8,4,4,4,4,4,4,4,0,3,4,4,4,0,4,4,0,0,4,4,4,4,4,0,4,1,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5,3,4,3,4,4,4,4,0,4,4,4,4,0,4,4,0,0,4,4,4,4,4,0,4,4,0,4,4,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,2,4,4,4,4,3,4,0,4,4,4,4,0,4,4,0,0,4,4,4,4,3,0,4,4,0,4,4,0,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,2,3,3,2,3,4,3,0,3,4,4,4,0,4,4,0,0,4,4,4,4,4,0,4,4,0,4,4,0,0,4,0,0,1,4,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,16,2,3,3,3,3,3,3,0,3,3,3,3,0,3,3,0,0,3,3,3,3,3,0,3,3,0,3,3,0,0,3,0,0,3,3,0,3,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,14,3,3,3,3,2,3,3,0,3,3,3,3,0,3,3,0,0,3,3,3,3,3,0,3,3,0,3,3,0,0,3,0,0,2,3,0,3,3,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,11,2,3,2,3,3,3,3,0,3,3,2,3,0,3,3,0,0,3,3,3,3,3,0,3,3,0,3,3,0,0,3,0,0,3,3,0,3,3,3,3,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,2,3,3,3,3,3,3,0,3,3,3,3,0,3,3,0,0,3,3,3,3,3,0,3,3,0,3,3,0,0,3,0,0,3,3,0,3,2,4,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,2,3,2,3,3,3,3,0,3,3,3,3,0,3,3,0,0,3,3,3,3,3,0,3,3,0,3,3,0,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3,3,2,1,3,3,3,3,0,3,3,3,3,0,3,3,0,0,3,3,3,3,3,0,3,2,0,3,3,0,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,0,3,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,1,2,2,2,2,2,2,0,2,2,3,3,0,3,2,0,0,3,3,3,3,3,0,3,3,0,3,3,0,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,0,3,0,0,0,3,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,2,0,2,2,2,3,2,0,3,3,3,3,0,2,1,0,0,3,3,3,3,3,0,3,3,0,3,3,0,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,0,3,0,0,0,3,2,0,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,2,0,2,2,2,2,2,0,2,2,2,2,0,2,2,0,0,3,3,3,2,3,0,3,3,0,3,3,0,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,0,3,0,0,0,3,3,0,3,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,2,0,1,2,2,2,2,0,2,2,2,1,0,2,2,0,0,3,3,3,3,3,0,3,3,0,3,3,0,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,0,3,0,0,0,3,3,0,3,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,1,0,2,1,2,2,2,0,2,2,2,2,0,2,2,0,0,2,2,2,3,3,0,3,3,0,3,3,0,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,0,2,0,0,0,3,3,0,3,0,0,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,16,2,0,2,2,2,2,2,0,2,2,2,2,0,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,15,2,0,2,2,2,2,2,0,2,2,2,2,0,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,1,0,2,0,0,2,2,2,2,2,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,11,2,0,2,2,2,2,2,0,1,2,2,2,0,2,1,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,2,0,2,1,2,2,2,0,2,2,2,2,0,1,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,1,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,2,0,1,1,1,2,2,0,2,2,2,2,0,1,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,1,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,1,0,0,1,1,1,2,1,0,2,2,2,2,0,2,2,0,0,1,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,1,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,2,3,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
43,1,0,0,0,1,1,2,1,0,2,1,2,2,0,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,2,3,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
44,1,0,0,0,2,1,2,2,0,0,2,2,2,0,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,1,0,0,0,2,2,0,2,0,0,2,2,2,2,1,2,2,2,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,1,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
45,1,0,0,0,1,1,1,2,0,0,2,1,2,0,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,3,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
46,0,0,0,0,1,1,2,2,0,0,2,2,2,0,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,1,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,3,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
47,0,0,0,0,0,1,2,2,0,0,2,2,2,0,2,2,0,0,1,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,2,2,1,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,3,4,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
48,0,0,0,0,0,3,2,2,0,0,2,2,2,0,1,2,0,0,1,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,1,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,2,2,2,2,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
49,0,0,0,0,0,3,2,2,0,0,2,1,2,0,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,2,0,0,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,2,2,2,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
50,0,0,0,0,0,2,2,1,0,0,2,2,1,0,2,2,0,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,0,0,2,2,0,2,2,2,2,2,0,0,2,0,1,0,0,0,2,2,0,2,0,0,2,2,2,1,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,2,2,2,3,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
